student_course_year_semester_week_intervention,student_course_year_semester_week,student_id,reason_id,intervention_id,intervention_current_status,intervention_assignee,week_date_beginning,date_closed,intervention_age,current_week
10_541197_2016_S1C_01_I33,10_541197_2016_S1C_01,10,R36,I33,Open,miguel joseph,"Monday, 29 February 2016",,35,
10_541197_2016_S1C_01_I39,10_541197_2016_S1C_01,10,R22,I39,Closed,jasmine fischer,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10021_1071111_2016_S1C_01_I33,10021_1071111_2016_S1C_01,10021,R36,I33,Closed,braydon mcintosh,"Monday, 29 February 2016","Monday, 4 April 2016",35,
10021_1075329_2016_S1C_01_I30,10021_1075329_2016_S1C_01,10021,R09,I30,Closed,audrina meyers,"Monday, 29 February 2016","Thursday, 17 March 2016",17,
10021_1075329_2016_S1C_01_I31,10021_1075329_2016_S1C_01,10021,R09,I31,Closed,siena cochran,"Monday, 29 February 2016","Monday, 4 April 2016",35,
10021_1075329_2016_S1C_01_I32,10021_1075329_2016_S1C_01,10021,R09,I32,Open,jayden sears,"Monday, 29 February 2016",,35,
10021_1075329_2016_S1C_01_I40,10021_1075329_2016_S1C_01,10021,R09,I40,Closed,amiya richmond,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10057_1021354_2016_S1C_01_I33,10057_1021354_2016_S1C_01,10057,R36,I33,Open,sabrina dawson,"Monday, 29 February 2016",,35,
10057_705728_2016_S1C_01_I39,10057_705728_2016_S1C_01,10057,R22,I39,Closed,chris lyons,"Monday, 29 February 2016","Friday, 11 March 2016",11,
10061_1316382_2016_S1C_01_I30,10061_1316382_2016_S1C_01,10061,R09,I30,Closed,wendy mathews,"Monday, 29 February 2016","Thursday, 24 March 2016",24,
10061_1316382_2016_S1C_01_I31,10061_1316382_2016_S1C_01,10061,R09,I31,Closed,chris lyons,"Monday, 29 February 2016","Monday, 28 March 2016",28,
10061_1316382_2016_S1C_01_I32,10061_1316382_2016_S1C_01,10061,R09,I32,Open,walter silva,"Monday, 29 February 2016",,35,
10061_1316382_2016_S1C_01_I33,10061_1316382_2016_S1C_01,10061,R36,I33,Open,jayden sears,"Monday, 29 February 2016",,35,
10061_1316382_2016_S1C_01_I40,10061_1316382_2016_S1C_01,10061,R09,I40,Open,jalen david,"Monday, 29 February 2016",,35,
10065_1497586_2016_S1C_01_I39,10065_1497586_2016_S1C_01,10065,R22,I39,Closed,jalen david,"Monday, 29 February 2016","Thursday, 24 March 2016",24,
10065_225826_2016_S1C_01_I30,10065_225826_2016_S1C_01,10065,R09,I30,Closed,amiyah franks,"Monday, 29 February 2016","Saturday, 19 March 2016",19,
10065_225826_2016_S1C_01_I32,10065_225826_2016_S1C_01,10065,R09,I32,Closed,walter silva,"Monday, 29 February 2016","Sunday, 6 March 2016",6,
10065_371564_2016_S1C_01_I31,10065_371564_2016_S1C_01,10065,R09,I31,Open,anahi simpson,"Monday, 29 February 2016",,35,
10065_371564_2016_S1C_01_I33,10065_371564_2016_S1C_01,10065,R36,I33,Closed,jayden sears,"Monday, 29 February 2016","Friday, 4 March 2016",4,
10065_371564_2016_S1C_01_I40,10065_371564_2016_S1C_01,10065,R09,I40,Open,wendy mathews,"Monday, 29 February 2016",,35,
10085_1312726_2016_S1C_01_I30,10085_1312726_2016_S1C_01,10085,R09,I30,Closed,amiyah franks,"Monday, 29 February 2016","Monday, 7 March 2016",7,
10085_1312726_2016_S1C_01_I31,10085_1312726_2016_S1C_01,10085,R09,I31,Closed,audrina meyers,"Monday, 29 February 2016","Wednesday, 6 April 2016",37,
10085_1312726_2016_S1C_01_I32,10085_1312726_2016_S1C_01,10085,R09,I32,Open,audrina meyers,"Monday, 29 February 2016",,35,
10085_1312726_2016_S1C_01_I40,10085_1312726_2016_S1C_01,10085,R09,I40,Closed,zoey yates,"Monday, 29 February 2016","Wednesday, 9 March 2016",9,
10085_154967_2016_S1C_01_I33,10085_154967_2016_S1C_01,10085,R01,I33,Closed,memphis blake,"Monday, 29 February 2016","Friday, 8 April 2016",39,
10085_154967_2016_S1C_01_I39,10085_154967_2016_S1C_01,10085,R22,I39,Closed,braydon mcintosh,"Monday, 29 February 2016","Wednesday, 2 March 2016",2,
10086_976960_2016_S1C_01_I33,10086_976960_2016_S1C_01,10086,R01,I33,Open,brennen payne,"Monday, 29 February 2016",,35,
10086_976960_2016_S1C_06_I30,10086_976960_2016_S1C_06,10086,R25,I30,Closed,audrina meyers,"Monday, 4 April 2016","Thursday, 28 April 2016",24,X
10086_976960_2016_S1C_06_I31,10086_976960_2016_S1C_06,10086,R25,I31,Closed,natalie dale,"Monday, 4 April 2016","Wednesday, 20 April 2016",16,X
